layer_idx,matrix_type,mass_0.05,mass_0.10,mass_0.15,mass_0.20,mass_0.25,mass_0.30,sv_max,sv_min,sv_mean,condition_number
0,mlp.down_proj,0.010267370380461216,0.02702476643025875,0.04663456231355667,0.0693453848361969,0.09507748484611511,0.12404870241880417,7.1223883628845215,0.5289604067802429,2.543325901031494,13.464879989624023
0,mlp.gate_proj,0.0006732952315360308,0.0031203841790556908,0.006791045423597097,0.012405493296682835,0.020937329158186913,0.033451762050390244,12.876607894897461,0.10873931646347046,2.4333629608154297,118.41722106933594
0,mlp.up_proj,0.0008654845296405256,0.004388873465359211,0.009844408370554447,0.017946815118193626,0.029512403532862663,0.04550648853182793,6.0315752029418945,0.12012024968862534,2.2067999839782715,50.21281051635742
0,self_attn.k_proj,0.0030217126477509737,0.009828496724367142,0.021370839327573776,0.041822537779808044,0.07192175835371017,0.10820920020341873,4.125155925750732,0.230111762881279,2.193948745727539,17.92675018310547
0,self_attn.o_proj,9.808583854464814e-05,0.0009043100872077048,0.0033366817515343428,0.008862613700330257,0.018920620903372765,0.03440265357494354,4.12581205368042,0.00042625301284715533,0.8486676216125488,9679.255859375
0,self_attn.q_proj,3.55079464497976e-05,0.0003147220704704523,0.0011078626848757267,0.002772081410512328,0.005670053884387016,0.010252101346850395,14.68974781036377,0.0008426401182077825,1.2631666660308838,17433.00390625
0,self_attn.v_proj,0.017874404788017273,0.04476883262395859,0.07331107556819916,0.10719382017850876,0.14355362951755524,0.18237225711345673,1.1092666387557983,0.1985951066017151,0.7342255711555481,5.585568904876709
1,mlp.down_proj,1.742635191703812e-07,9.400675935467007e-07,2.255225808767136e-06,4.29961664849543e-06,8.451473149762023e-06,3.904931145370938e-05,11.310626029968262,0.00021200776973273605,0.6647033095359802,53350.0546875
1,mlp.gate_proj,2.4284934951879222e-08,2.3659370640416455e-07,7.0244828975774e-07,1.642336883378448e-06,4.1105199670710135e-06,2.35289589909371e-05,11.752087593078613,0.00015075941337272525,0.8709385991096497,77952.59375
1,mlp.up_proj,1.154924600399454e-08,8.503754145294806e-08,1.9802246242761612e-07,3.7546547559941246e-07,8.10102108061983e-07,5.651793344441103e-06,11.50200080871582,8.579871791880578e-05,0.6046447157859802,134057.953125
1,self_attn.k_proj,0.0005558388656936586,0.0027368448209017515,0.006969315931200981,0.01384681649506092,0.02320265956223011,0.035216160118579865,4.968586444854736,0.056930892169475555,1.644095778465271,87.27399444580078
1,self_attn.o_proj,4.109034489374608e-05,0.0003935030836146325,0.0013797043357044458,0.003400183282792568,0.0068375468254089355,0.012119555845856667,4.280864715576172,0.00015046163753140718,0.7950375080108643,28451.53515625
1,self_attn.q_proj,4.019800599053269e-06,7.124571857275441e-05,0.0003284989797975868,0.0009461095905862749,0.0021205798257142305,0.004114346578717232,7.406511306762695,6.626167305512354e-05,0.9111379981040955,111776.703125
1,self_attn.v_proj,0.014200020581483841,0.0366654172539711,0.06129777058959007,0.09131568670272827,0.12438748776912689,0.16059750318527222,1.2113591432571411,0.20407401025295258,0.8143372535705566,5.935881614685059
10,mlp.down_proj,0.010160178877413273,0.02744348719716072,0.047671183943748474,0.07063373178243637,0.09627440571784973,0.12478969246149063,8.439713478088379,0.38187548518180847,2.4359140396118164,22.10069465637207
10,mlp.gate_proj,0.010996815748512745,0.028709586709737778,0.04880128428339958,0.07139065116643906,0.0963420420885086,0.12392193078994751,15.313404083251953,0.17722472548484802,3.0410282611846924,86.40670013427734
10,mlp.up_proj,0.012069810181856155,0.033012017607688904,0.056678738445043564,0.08299169689416885,0.11194445937871933,0.14385081827640533,5.126435279846191,0.1713392287492752,2.536318302154541,29.9197998046875
10,self_attn.k_proj,0.002223531249910593,0.00758129358291626,0.015342576429247856,0.02688976563513279,0.04182816296815872,0.060473740100860596,2.452544927597046,0.16033822298049927,1.1324999332427979,15.29607105255127
10,self_attn.o_proj,3.7533372960751876e-05,0.000315188110107556,0.0010720163118094206,0.0026193212252110243,0.005251465830951929,0.009355699643492699,4.000581741333008,0.00021737020870205015,0.8654142618179321,18404.462890625
10,self_attn.q_proj,3.237641431041993e-05,0.00027694672462530434,0.0009628009865991771,0.0023724553175270557,0.004798780661076307,0.00859977025538683,5.094076156616211,1.1229884876229335e-05,0.8987112641334534,453617.84375
10,self_attn.v_proj,0.01819690130650997,0.04377157986164093,0.07055751234292984,0.10240201652050018,0.13705027103424072,0.17427319288253784,1.8123714923858643,0.4571473300457001,1.1974726915359497,3.9645237922668457
11,mlp.down_proj,0.009921977296471596,0.027150237932801247,0.047419559210538864,0.07066037505865097,0.09675147384405136,0.12581035494804382,10.124585151672363,0.4274047911167145,2.5118470191955566,23.68851661682129
11,mlp.gate_proj,0.010526197031140327,0.027621613815426826,0.04701540619134903,0.06881383806467056,0.0929417610168457,0.11967026442289352,15.06376838684082,0.4939991533756256,2.9331068992614746,30.493511199951172
11,mlp.up_proj,0.011565695516765118,0.03187902271747589,0.05505133792757988,0.08104512095451355,0.10979557782411575,0.14158502221107483,5.437676429748535,0.392924964427948,2.5990986824035645,13.838969230651855
11,self_attn.k_proj,0.0025748861953616142,0.008752384223043919,0.01739616133272648,0.029618000611662865,0.04494728520512581,0.063649021089077,2.5789642333984375,0.12210426479578018,1.1552708148956299,21.121000289916992
11,self_attn.o_proj,3.12224765366409e-05,0.0002597806742414832,0.0008857971988618374,0.0021629827097058296,0.004336844198405743,0.0077238380908966064,4.250397205352783,0.0005833411705680192,0.8643537759780884,7286.29736328125
11,self_attn.q_proj,3.192512667737901e-05,0.0002736455062404275,0.00094596081180498,0.002333256183192134,0.0047294022515416145,0.008507881313562393,5.437314033508301,0.00035519455559551716,0.9138514399528503,15307.98828125
11,self_attn.v_proj,0.020274754613637924,0.048517417162656784,0.07798124849796295,0.11273004114627838,0.1501711755990982,0.18996164202690125,1.740975260734558,0.5708784461021423,1.2113075256347656,3.049642562866211
12,mlp.down_proj,0.008900602348148823,0.024896709248423576,0.04422144964337349,0.06689121574163437,0.09268227219581604,0.12177678197622299,7.6569719314575195,0.3800773322582245,2.4922890663146973,20.14582633972168
12,mlp.gate_proj,0.009302386082708836,0.02495659328997135,0.04290584847331047,0.0632433220744133,0.08580824732780457,0.11086048930883408,18.251712799072266,0.5116592049598694,2.9518394470214844,35.6716194152832
12,mlp.up_proj,0.01135812234133482,0.031296294182538986,0.05417940765619278,0.0800279825925827,0.10866156220436096,0.14034231007099152,5.530294418334961,0.4008563756942749,2.584547758102417,13.796198844909668
12,self_attn.k_proj,0.0017350416164845228,0.005629199091345072,0.011575731448829174,0.020571934059262276,0.03240201249718666,0.047360967844724655,2.968719005584717,0.13870246708393097,1.1854174137115479,21.403505325317383
12,self_attn.o_proj,2.888570998038631e-05,0.0002476224326528609,0.000849965843372047,0.0020921749528497458,0.004216253757476807,0.007552363909780979,5.694214344024658,6.194154411787167e-05,0.8690183162689209,91928.84375
12,self_attn.q_proj,3.101900074398145e-05,0.0002634055563248694,0.0008999388082884252,0.002201851923018694,0.004424409940838814,0.007896943017840385,5.406206130981445,0.00025342951994389296,0.9020768404006958,21332.1875
12,self_attn.v_proj,0.02370433509349823,0.05565905570983887,0.08804857730865479,0.12560799717903137,0.165678009390831,0.2077838033437729,1.499631643295288,0.5513651371002197,1.1748883724212646,2.7198522090911865
13,mlp.down_proj,0.009915703907608986,0.026999039575457573,0.04722188413143158,0.07042647898197174,0.09644977748394012,0.1254299283027649,8.3153657913208,0.5580779910087585,2.656374216079712,14.900006294250488
13,mlp.gate_proj,0.011026442982256413,0.028636962175369263,0.04860612750053406,0.07104340195655823,0.09589351713657379,0.12351653724908829,12.501261711120605,0.5936625599861145,2.7434134483337402,21.057857513427734
