layer_idx,matrix_type,mass_0.05,mass_0.10,mass_0.15,mass_0.20,mass_0.25,mass_0.30,sv_max,sv_min,sv_mean,condition_number
0,mlp.down_proj,0.010333460755646229,0.02770048752427101,0.04775794595479965,0.07047626376152039,0.09617772698402405,0.1251123696565628,7.124590873718262,0.5345327854156494,2.546034336090088,13.328632354736328
0,mlp.gate_proj,0.0006885409820824862,0.0032387268729507923,0.006949895527213812,0.012563974596560001,0.021094555035233498,0.033607423305511475,12.876343727111816,0.10956823080778122,2.4343814849853516,117.51895141601562
0,mlp.up_proj,0.0008864014525897801,0.004540527705103159,0.010050780139863491,0.018152449280023575,0.02971658855676651,0.04570842534303665,6.0318098068237305,0.12171725928783417,2.2078068256378174,49.555912017822266
0,self_attn.k_proj,0.0030227317474782467,0.009840080514550209,0.021376077085733414,0.04182124510407448,0.07191868871450424,0.10821053385734558,4.125201225280762,0.230625718832016,2.1939563751220703,17.886995315551758
0,self_attn.o_proj,9.770304313860834e-05,0.0009091587271541357,0.003345071105286479,0.008871418423950672,0.018929515033960342,0.03441254422068596,4.125823974609375,0.00032238929998129606,0.8486888408660889,12797.6455078125
0,self_attn.q_proj,3.531185575411655e-05,0.0003167891991324723,0.0011104117147624493,0.0027746488340198994,0.00567258195951581,0.010254251770675182,14.690231323242188,0.0004958848003298044,1.2631912231445312,29624.283203125
0,self_attn.v_proj,0.017853204160928726,0.04473404958844185,0.07328604906797409,0.10716815292835236,0.14353784918785095,0.18236325681209564,1.1095722913742065,0.19884788990020752,0.7342069149017334,5.580005168914795
1,mlp.down_proj,1.4143201099159342e-07,1.0283359870300046e-06,2.5016408926603617e-06,4.6229447434598114e-06,8.78274022397818e-06,3.93773298128508e-05,11.310921669006348,0.00020906679856125265,0.6647317409515381,54101.94921875
1,mlp.gate_proj,2.870873672122798e-08,3.1563968150294386e-07,8.702600098331459e-07,1.8433419199936907e-06,4.317261755204527e-06,2.373700772295706e-05,11.752227783203125,0.0001519291545264423,0.8709958791732788,77353.34375
1,mlp.up_proj,1.6762761845257046e-08,1.3513333385617443e-07,3.038981617464742e-07,5.478317461893312e-07,1.021862203742785e-06,5.864995273441309e-06,11.502650260925293,9.057517308974639e-05,0.6047126650810242,126995.6171875
1,self_attn.k_proj,0.0005562719888985157,0.0027365272399038076,0.006968274246901274,0.013843593187630177,0.023200049996376038,0.035214345902204514,4.968802452087402,0.05694018676877022,1.6441009044647217,87.26354217529297
