layer_idx,matrix_type,mass_0.05,mass_0.10,mass_0.15,mass_0.20,mass_0.25,mass_0.30,sv_max,sv_min,sv_mean,condition_number
0,mlp.down_proj,0.010236663743853569,0.025999341160058975,0.04517072066664696,0.06790170818567276,0.09364728629589081,0.122642382979393,7.127712249755859,0.5164852738380432,2.5383927822113037,13.800416946411133
0,mlp.gate_proj,0.0006558804307132959,0.0029751230031251907,0.0065931291319429874,0.012206423096358776,0.02073594368994236,0.03324991092085838,12.871206283569336,0.1077350378036499,2.430741310119629,119.47093963623047
0,mlp.up_proj,0.0008422571700066328,0.0041893767192959785,0.009580591693520546,0.0176832377910614,0.02924918383359909,0.0452427938580513,6.027281284332275,0.1186855286359787,2.2042741775512695,50.78362274169922
0,self_attn.k_proj,0.003023131750524044,0.009800299070775509,0.02131490595638752,0.04177703708410263,0.07191649079322815,0.1082204207777977,4.111176490783691,0.23145835101604462,2.1938092708587646,17.762056350708008
0,self_attn.o_proj,9.961835894500837e-05,0.000893241201993078,0.0033238057512789965,0.008850445970892906,0.01890813745558262,0.03438825532793999,4.116650104522705,0.0001526334963273257,0.8481076955795288,26970.81640625
0,self_attn.q_proj,3.614951128838584e-05,0.00031193564063869417,0.0011045230785384774,0.0027677807956933975,0.0056647639721632,0.0102487001568079,14.668061256408691,0.0003716409846674651,1.2624776363372803,39468.36328125
0,self_attn.v_proj,0.01784859597682953,0.04465445503592491,0.07321237027645111,0.10709132254123688,0.14351460337638855,0.18235377967357635,1.1072791814804077,0.19798918068408966,0.7340391278266907,5.592624664306641
1,mlp.down_proj,2.997431352014246e-07,8.764196763877408e-07,1.9267579318693606e-06,3.8937746467127e-06,8.008064469322562e-06,3.855543036479503e-05,11.284322738647461,0.0018575083231553435,0.664483368396759,6074.978515625
1,mlp.gate_proj,2.8497861848109096e-08,1.4062570130590757e-07,4.856485134041577e-07,1.3976795116832363e-06,3.848227152047912e-06,2.3232529201777652e-05,11.747293472290039,0.00022416634601540864,0.8705546259880066,52404.359375
1,mlp.up_proj,7.781687294539097e-09,2.995583514575628e-08,8.258515293846358e-08,2.1316918719094247e-07,6.249582042983093e-07,5.452869118016679e-06,11.487990379333496,6.515254790429026e-05,0.6043549180030823,176324.5
1,self_attn.k_proj,0.0005559285054914653,0.0027343255933374166,0.0069680898450315,0.013837888836860657,0.023188374936580658,0.03520945832133293,4.971822261810303,0.05688118189573288,1.6441410779953003,87.40715789794922
1,self_attn.o_proj,4.170002284809016e-05,0.000390014611184597,0.0013753341045230627,0.0033950647339224815,0.006831958424299955,0.01211385428905487,4.289224624633789,3.9818456571083516e-05,0.7945687770843506,107719.5078125
1,self_attn.q_proj,3.988021944678621e-06,7.083610398694873e-05,0.000327891408232972,0.0009453356033191085,0.002119536744430661,0.004112736321985722,7.3993072509765625,1.3133727634340175e-06,0.9106318354606628,5633821.0
